true_params,est_params,err,mse0,sample_id
[0.97059948 0.02618298],"[0.9706449128541036, 0.025535085997169776]","[4.543590150396515e-05, -0.0006478918740452644]",1.3030355690169821e-05,0
[0.05929816 0.85783188],"[0.06046451414787501, 0.8586026462062215]","[0.0011663567215965884, 0.0007707657475389817]",1.46822029541656e-06,1
[0.93793196 0.62632005],"[0.9324143993741938, 0.6382847146966055]","[-0.005517561458220244, 0.011964664386147073]",5.0424986991886777e-05,2
[0.19206293 0.60020298],"[0.19226945927166098, 0.6026527248463558]","[0.0002065283714449695, 0.002449744027893108]",5.637717711001166e-06,3
[0.0364107  0.71803047],"[0.03623518991445675, 0.7189870568360136]","[-0.00017551499776123636, 0.0009565874606002334]",2.4478584075987527e-06,4
[1.37437702 0.83905277],"[1.373691753324828, 0.8401849079184731]","[-0.0006852705825250993, 0.0011321406843926018]",3.1296357664322006e-07,5
[0.85961615 1.24982253],"[0.8591570284995296, 1.250827963655088]","[-0.00045911974756662755, 0.0010054315752450194]",1.3241133775115519e-06,6
[0.31988693 0.57856367],"[0.3208082202243512, 0.5798508505506724]","[0.0009212882246909526, 0.0012871769299446223]",1.3734890384137802e-06,7
[0.22034604 0.75623793],"[0.22090754913461835, 0.7573403626653203]","[0.0005615077675191205, 0.0011024371414082301]",4.759856452120898e-06,8
[1.74185422 0.2281365 ],"[1.741981955618816, 0.22831855251477828]","[0.0001277392477028183, 0.0001820557036454895]",8.244733451128882e-08,9
